  slab 20/-1: 14,603,967 presynapses, 14,603,967 total (5s)
  slab 40/-1: 29,208,144 presynapses, 43,812,111 total (11s)
  slab 60/-1: 43,812,012 presynapses, 87,624,123 total (17s)
  slab 80/-1: 58,416,195 presynapses, 146,040,318 total (22s)
  slab 100/-1: 73,020,211 presynapses, 219,060,529 total (28s)
  slab 110/110: 0 presynapses, 219,060,529 total (95s)
  partitioned: 32/79,377,662 (114s)
  blurred: 1/32 (118s)
  blurred: 2/32 (122s)
  blurred: 3/32 (126s)
  blurred: 4/32 (131s)
  blurred: 5/32 (135s)
  blurred: 6/32 (140s)
  blurred: 7/32 (144s)
  blurred: 8/32 (149s)
  blurred: 9/32 (154s)
  blurred: 10/32 (158s)
  blurred: 11/32 (162s)
  blurred: 12/32 (167s)
  blurred: 13/32 (171s)
  blurred: 14/32 (176s)
  blurred: 15/32 (181s)
  blurred: 16/32 (185s)
  blurred: 17/32 (190s)
  blurred: 18/32 (194s)
  blurred: 19/32 (199s)
  blurred: 20/32 (204s)
  blurred: 21/32 (209s)
  blurred: 22/32 (213s)
  blurred: 23/32 (218s)
  blurred: 24/32 (223s)
  blurred: 25/32 (228s)
  blurred: 26/32 (233s)
  blurred: 27/32 (237s)
  blurred: 28/32 (242s)
  blurred: 29/32 (247s)
  blurred: 30/32 (252s)
  blurred: 31/32 (256s)
  blurred: 32/32 (260s)
