  slab 1/6: 8,000,000 presynapses, 8,000,000 total (36s)
  slab 2/6: 8,000,000 presynapses, 16,000,000 total (38s)
  slab 3/6: 8,000,000 presynapses, 24,000,000 total (40s)
  slab 4/6: 8,000,000 presynapses, 32,000,000 total (42s)
  slab 5/6: 8,000,000 presynapses, 40,000,000 total (44s)
  slab 6/6: 5,656,140 presynapses, 45,656,140 total (45s)
  partitioned: 41/35,237,247 (45s)
  blurred: 1/41 (49s)
  blurred: 2/41 (53s)
  blurred: 3/41 (57s)
  blurred: 4/41 (62s)
  blurred: 5/41 (66s)
  blurred: 6/41 (70s)
  blurred: 7/41 (74s)
  blurred: 8/41 (78s)
  blurred: 9/41 (82s)
  blurred: 10/41 (84s)
  blurred: 11/41 (88s)
  blurred: 12/41 (93s)
  blurred: 13/41 (98s)
  blurred: 14/41 (102s)
  blurred: 15/41 (107s)
  blurred: 16/41 (111s)
  blurred: 17/41 (115s)
  blurred: 18/41 (119s)
  blurred: 19/41 (124s)
  blurred: 20/41 (128s)
  blurred: 21/41 (132s)
  blurred: 22/41 (136s)
  blurred: 23/41 (141s)
  blurred: 24/41 (145s)
  blurred: 25/41 (149s)
  blurred: 26/41 (153s)
  blurred: 27/41 (157s)
  blurred: 28/41 (162s)
  blurred: 29/41 (166s)
  blurred: 30/41 (170s)
  blurred: 31/41 (175s)
  blurred: 32/41 (179s)
  blurred: 33/41 (183s)
  blurred: 34/41 (188s)
  blurred: 35/41 (192s)
  blurred: 36/41 (197s)
  blurred: 37/41 (201s)
  blurred: 38/41 (206s)
  blurred: 39/41 (210s)
  blurred: 40/41 (214s)
  blurred: 41/41 (216s)
