atlas,published_name,canonical,relation
benton2025,VM7d,VM7d,exact
benton2025,VC2,VC2,exact
benton2025,VC1,VC1,exact
benton2025,VA7l,VA7l,exact
benton2025,VM7v,VM7v,exact
benton2025,VA4,VA4,exact
benton2025,DM1,DM1,exact
benton2025,VA2,VA2,exact
benton2025,V,V,exact
benton2025,DL1,DL1,exact
benton2025,DM4,DM4,exact
benton2025,DM5,DM5,exact
benton2025,DM2,DM2,exact
benton2025,VM5d,VM5d,exact
benton2025,DL5,DL5,exact
benton2025,DA2,DA2,exact
benton2025,VA6,VA6,exact
benton2025,DM3,DM3,exact
benton2025,DC2,DC2,exact
benton2025,VA7m,VA7m,exact
benton2025,VM5v,VM5v,exact
benton2025,VC4,VC4,exact
benton2025,VM2,VM2,exact
benton2025,VM3,VM3,exact
benton2025,D,D,exact
benton2025,VA3,VA3,exact
benton2025,DM6,DM6,exact
benton2025,DL4,DL4,exact
benton2025,VA5,VA5,exact
benton2025,DC3,DC3,exact
benton2025,DA3,DA3,exact
benton2025,DC1,DC1,exact
benton2025,DA4m,DA4m,exact
benton2025,DA4l,DA4l,exact
benton2025,DA1,DA1,exact
benton2025,VA1v,VA1v,exact
benton2025,DL3,DL3,exact
benton2025,VA1d,VA1d,exact
benton2025,VM6,VM6,exact
benton2025,VL2p,VL2p,exact
benton2025,VM1,VM1,exact
benton2025,VL1,VL1,exact
benton2025,DP1l,DP1l,exact
benton2025,VC5,VC5,exact
benton2025,DL2d,DL2d,exact
benton2025,VC3,VC3,exact
benton2025,DL2v,DL2v,exact
benton2025,VL2a,VL2a,exact
benton2025,VM4,VM4,exact
benton2025,DC4,DC4,exact
benton2025,DP1m,DP1m,exact
benton2025,VP1l,VP1l,exact
benton2025,VP4,VP4,exact
benton2025,VP1m,VP1m,exact
benton2025,VP5,VP5,exact
benton2025,VP1d,VP1d,exact
benton2025,VP3,VP3,exact
benton2025,VP2,VP2,exact
grabe2015,VP1(L),VP1d;VP1l;VP1m,merge
grabe2015,VP4(L),VP4,exact
grabe2015,D(L),D,exact
grabe2015,DA1(L),DA1,exact
grabe2015,DA2(L),DA2,exact
grabe2015,DA3(L),DA3,exact
grabe2015,DA4l(L),DA4l,exact
grabe2015,DA4m(L),DA4m,exact
grabe2015,DC1(L),DC1,exact
grabe2015,DC2(L),DC2,exact
grabe2015,DC3(L),DC3,exact
grabe2015,DC4(L),DC4,exact
grabe2015,DL1(L),DL1,exact
grabe2015,DL2d(L),DL2d,exact
grabe2015,DL2v(L),DL2v,exact
grabe2015,DL3(L),DL3,exact
grabe2015,DL4(L),DL4,exact
grabe2015,DL5(L),DL5,exact
grabe2015,DM1(L),DM1,exact
grabe2015,DM2(L),DM2,exact
grabe2015,DM3(L),DM3,exact
grabe2015,DM4(L),DM4,exact
grabe2015,DM5(L),DM5,exact
grabe2015,DM6(L),DM6,exact
grabe2015,DP1m(L),DP1m,exact
grabe2015,DP1l(L),DP1l,exact
grabe2015,V(L),V,exact
grabe2015,VA1d(L),VA1d,exact
grabe2015,VA1v(L),VA1v,exact
grabe2015,VA2(L),VA2,exact
grabe2015,VA3(L),VA3,exact
grabe2015,VA4(L),VA4,exact
grabe2015,VA5(L),VA5,exact
grabe2015,VA6(L),VA6,exact
grabe2015,VA7l(L),VA7l,exact
grabe2015,VC1(L),VC1,exact
grabe2015,VC2(L),VC2,exact
grabe2015,VC3(L),VC3,exact
grabe2015,VC4(L),VC4,exact
grabe2015,VC5(L),VC5,exact
grabe2015,VL1(L),VL1,exact
grabe2015,VL2p(L),VL2p,exact
grabe2015,VL2a(L),VL2a,exact
grabe2015,VM1(L),VM1,exact
grabe2015,VM2(L),VM2,exact
grabe2015,VM3(L),VM3,exact
grabe2015,VM4(L),VM4,exact
grabe2015,VM5d(L),VM5d,exact
grabe2015,VM5v(L),VM5v,exact
grabe2015,VM7d(L),VM7d,exact
grabe2015,VM7v(L),VM7v,exact
grabe2015,VP1(R),VP1d;VP1l;VP1m,merge
grabe2015,VP4(R),VP4,exact
grabe2015,D(R),D,exact
grabe2015,DA1(R),DA1,exact
grabe2015,DA2(R),DA2,exact
grabe2015,DA3(R),DA3,exact
grabe2015,DA4l(R),DA4l,exact
grabe2015,DA4m(R),DA4m,exact
grabe2015,DC1(R),DC1,exact
grabe2015,DC2(R),DC2,exact
grabe2015,DC3(R),DC3,exact
grabe2015,DC4(R),DC4,exact
grabe2015,DL1(R),DL1,exact
grabe2015,DL2d(R),DL2d,exact
grabe2015,DL2v(R),DL2v,exact
grabe2015,DL3(R),DL3,exact
grabe2015,DL4(R),DL4,exact
grabe2015,DL5(R),DL5,exact
grabe2015,DM1(R),DM1,exact
grabe2015,DM2(R),DM2,exact
grabe2015,DM3(R),DM3,exact
grabe2015,DM4(R),DM4,exact
grabe2015,DM5(R),DM5,exact
grabe2015,DM6(R),DM6,exact
grabe2015,DP1m(R),DP1m,exact
grabe2015,DP1l(R),DP1l,exact
grabe2015,V(R),V,exact
grabe2015,VA1d(R),VA1d,exact
grabe2015,VA1v(R),VA1v,exact
grabe2015,VA2(R),VA2,exact
grabe2015,VA3(R),VA3,exact
grabe2015,VA4(R),VA4,exact
grabe2015,VA5(R),VA5,exact
grabe2015,VA6(R),VA6,exact
grabe2015,VA7l(R),VA7l,exact
grabe2015,VC1(R),VC1,exact
grabe2015,VC2(R),VC2,exact
grabe2015,VC3(R),VC3,exact
grabe2015,VC4(R),VC4,exact
grabe2015,VC5(R),VC5,exact
grabe2015,VL1(R),VL1,exact
grabe2015,VL2p(R),VL2p,exact
grabe2015,VL2a(R),VL2a,exact
grabe2015,VM1(R),VM1,exact
grabe2015,VM2(R),VM2,exact
grabe2015,VM3(R),VM3,exact
grabe2015,VM4(R),VM4,exact
grabe2015,VM5d(R),VM5d,exact
grabe2015,VM5v(R),VM5v,exact
grabe2015,VM7d(R),VM7d,exact
grabe2015,VM7v(R),VM7v,exact
grabe2015,VP2(L),VP2,exact
grabe2015,VP2(R),VP2,exact
